card_id;mtr_code;ksm_code;item_type;subtype;name;designation;dn;outer_diameter;wall_thickness;d1;d2;angle;pn;steel_grade;strength_class;medium;medium_compatibility_status;h2s_confirmed;co2_confirmed;inner_coating;outer_coating;climate_version;gost_tu;standard;stock_qty;unit;synthetic
SYN-REG-CARD-000018;MTR-SYN-REG-000018;KSM-SYN-REG-000018;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 13ХФА;Труба бесшовная горячедеформированная 133x6 13ХФА;125;133;6;;;;40;13ХФА;К42;нефть;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;56;pcs;True
SYN-REG-CARD-000019;MTR-SYN-REG-000019;KSM-SYN-REG-000019;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 76x5 09ГСФ;Труба бесшовная горячедеформированная 76x5 09ГСФ;65;76;5;;;;160;09ГСФ;К42;природный газ;requires_project_and_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;41;pcs;True
SYN-REG-CARD-000020;MTR-SYN-REG-000020;KSM-SYN-REG-000020;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 159x8 09Г2С;Труба бесшовная горячедеформированная 159x8 09Г2С;150;159;8;;;;160;09Г2С;К42;газ с H2S;requires_tu_lnd_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;80;pcs;True
SYN-REG-CARD-000021;MTR-SYN-REG-000021;KSM-SYN-REG-000021;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 426x14 09ГСФ;Труба бесшовная горячедеформированная 426x14 09ГСФ;400;426;14;;;;63;09ГСФ;К48;газ с H2S и CO2;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;40;pcs;True
SYN-REG-CARD-000022;MTR-SYN-REG-000022;KSM-SYN-REG-000022;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 325x12 20;Труба бесшовная горячедеформированная 325x12 20;300;325;12;;;;100;20;К56;газ с H2S;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;35;pcs;True
SYN-REG-CARD-000023;MTR-SYN-REG-000023;KSM-SYN-REG-000023;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 13ХФА;Труба бесшовная горячедеформированная 133x6 13ХФА;125;133;6;;;;16;13ХФА;К56;нефть;requires_project_and_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;64;pcs;True
SYN-REG-CARD-000024;MTR-SYN-REG-000024;KSM-SYN-REG-000024;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 13ХФА;Труба бесшовная горячедеформированная 108x6 13ХФА;100;108;6;;;;160;13ХФА;К42;газ с CO2;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;36;pcs;True
SYN-REG-CARD-000025;MTR-SYN-REG-000025;KSM-SYN-REG-000025;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 159x8 09ГСФ;Труба бесшовная горячедеформированная 159x8 09ГСФ;150;159;8;;;;63;09ГСФ;К42;техническая вода;requires_project_and_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000026;MTR-SYN-REG-000026;KSM-SYN-REG-000026;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 09Г2С;Труба бесшовная горячедеформированная 530x16 09Г2С;500;530;16;;;;100;09Г2С;К48;коррозионно-активная среда;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;35;pcs;True
SYN-REG-CARD-000027;MTR-SYN-REG-000027;KSM-SYN-REG-000027;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 325x12 13ХФА;Труба бесшовная горячедеформированная 325x12 13ХФА;300;325;12;;;;63;13ХФА;К48;газ с H2S и CO2;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;3;pcs;True
SYN-REG-CARD-000028;MTR-SYN-REG-000028;KSM-SYN-REG-000028;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 159x8 09ГСФ;Труба бесшовная горячедеформированная 159x8 09ГСФ;150;159;8;;;;100;09ГСФ;К56;газ с H2S и CO2;requires_tu_lnd_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;79;pcs;True
SYN-REG-CARD-000029;MTR-SYN-REG-000029;KSM-SYN-REG-000029;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 13ХФА;Труба бесшовная горячедеформированная 273x10 13ХФА;250;273;10;;;;100;13ХФА;К56;газ с CO2;requires_tu_lnd_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;75;pcs;True
SYN-REG-CARD-000030;MTR-SYN-REG-000030;KSM-SYN-REG-000030;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 20;Труба бесшовная горячедеформированная 530x16 20;500;530;16;;;;160;20;К42;техническая вода;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;19;pcs;True
SYN-REG-CARD-000031;MTR-SYN-REG-000031;KSM-SYN-REG-000031;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 20;Труба бесшовная горячедеформированная 89x6 20;80;89;6;;;;40;20;К52;коррозионно-активная среда;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;38;pcs;True
SYN-REG-CARD-000032;MTR-SYN-REG-000032;KSM-SYN-REG-000032;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 13ХФА;Труба бесшовная горячедеформированная 108x6 13ХФА;100;108;6;;;;63;13ХФА;К56;газ с H2S;requires_tu_lnd_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;31;pcs;True
SYN-REG-CARD-000033;MTR-SYN-REG-000033;KSM-SYN-REG-000033;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 13ХФА;Труба бесшовная горячедеформированная 377x12 13ХФА;350;377;12;;;;25;13ХФА;К48;газ с H2S;requires_tu_lnd_passport;;;True;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;56;pcs;True
SYN-REG-CARD-000034;MTR-SYN-REG-000034;KSM-SYN-REG-000034;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 09ГСФ;Труба бесшовная горячедеформированная 273x10 09ГСФ;250;273;10;;;;25;09ГСФ;К56;газ с H2S;requires_tu_lnd_passport;;;False;False;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;18;pcs;True
SYN-REG-CARD-000035;MTR-SYN-REG-000035;KSM-SYN-REG-000035;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 09ГСФ;Труба бесшовная горячедеформированная 133x6 09ГСФ;125;133;6;;;;16;09ГСФ;К56;техническая вода;requires_project_and_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;41;pcs;True
SYN-REG-CARD-000036;MTR-SYN-REG-000036;KSM-SYN-REG-000036;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 13ХФА;Труба бесшовная горячедеформированная 377x12 13ХФА;350;377;12;;;;25;13ХФА;К48;газ с CO2;requires_tu_lnd_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;40;pcs;True
SYN-REG-CARD-000037;MTR-SYN-REG-000037;KSM-SYN-REG-000037;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 09ГСФ;Труба бесшовная горячедеформированная 377x12 09ГСФ;350;377;12;;;;40;09ГСФ;К56;газ с CO2;requires_tu_lnd_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;57;pcs;True
SYN-REG-CARD-000038;MTR-SYN-REG-000038;KSM-SYN-REG-000038;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 13ХФА;Труба бесшовная горячедеформированная 377x12 13ХФА;350;377;12;;;;16;13ХФА;К48;газ с H2S;requires_tu_lnd_passport;;;False;;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;1;pcs;True
SYN-REG-CARD-000039;MTR-SYN-REG-000039;KSM-SYN-REG-000039;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 20;Труба бесшовная горячедеформированная 133x6 20;125;133;6;;;;63;20;К56;газ с CO2;requires_tu_lnd_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;64;pcs;True
SYN-REG-CARD-000040;MTR-SYN-REG-000040;KSM-SYN-REG-000040;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 57x4 13ХФА;Труба бесшовная горячедеформированная 57x4 13ХФА;50;57;4;;;;63;13ХФА;К56;техническая вода;requires_project_and_passport;;;;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;58;pcs;True
SYN-REG-CARD-000041;MTR-SYN-REG-000041;KSM-SYN-REG-000041;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 20;Труба бесшовная горячедеформированная 108x6 20;100;108;6;;;;160;20;К48;газ с H2S;requires_tu_lnd_passport;;;False;;У;ГОСТ 8731-2025;ГОСТ 8731-2025;4;pcs;True
SYN-REG-CARD-000042;MTR-SYN-REG-000042;KSM-SYN-REG-000042;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 426x14 09ГСФ;Труба бесшовная горячедеформированная 426x14 09ГСФ;400;426;14;;;;16;09ГСФ;К42;природный газ;requires_project_and_passport;;;;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;51;pcs;True
SYN-REG-CARD-000043;MTR-SYN-REG-000043;KSM-SYN-REG-000043;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 13ХФА;Труба бесшовная горячедеформированная 273x10 13ХФА;250;273;10;;;;25;13ХФА;К52;нефть;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;51;pcs;True
SYN-REG-CARD-000044;MTR-SYN-REG-000044;KSM-SYN-REG-000044;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 57x4 13ХФА;Труба бесшовная горячедеформированная 57x4 13ХФА;50;57;4;;;;100;13ХФА;К42;техническая вода;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;23;pcs;True
SYN-REG-CARD-000045;MTR-SYN-REG-000045;KSM-SYN-REG-000045;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 219x10 09Г2С;Труба бесшовная горячедеформированная 219x10 09Г2С;200;219;10;;;;16;09Г2С;К48;природный газ;requires_project_and_passport;;;;False;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;16;pcs;True
SYN-REG-CARD-000046;MTR-SYN-REG-000046;KSM-SYN-REG-000046;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 76x5 13ХФА;Труба бесшовная горячедеформированная 76x5 13ХФА;65;76;5;;;;100;13ХФА;К48;газ с H2S и CO2;requires_tu_lnd_passport;;;;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;7;pcs;True
SYN-REG-CARD-000047;MTR-SYN-REG-000047;KSM-SYN-REG-000047;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 09Г2С;Труба бесшовная горячедеформированная 108x6 09Г2С;100;108;6;;;;100;09Г2С;К56;нефть;requires_project_and_passport;;;False;;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;76;pcs;True
SYN-REG-CARD-000048;MTR-SYN-REG-000048;KSM-SYN-REG-000048;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 76x5 20;Труба бесшовная горячедеформированная 76x5 20;65;76;5;;;;100;20;К42;природный газ;requires_project_and_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;27;pcs;True
SYN-REG-CARD-000049;MTR-SYN-REG-000049;KSM-SYN-REG-000049;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 325x12 20;Труба бесшовная горячедеформированная 325x12 20;300;325;12;;;;100;20;К48;газ с H2S и CO2;requires_tu_lnd_passport;;;;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;43;pcs;True
SYN-REG-CARD-000050;MTR-SYN-REG-000050;KSM-SYN-REG-000050;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 13ХФА;Труба бесшовная горячедеформированная 273x10 13ХФА;250;273;10;;;;40;13ХФА;К48;нефть;requires_project_and_passport;;;;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;48;pcs;True
SYN-REG-CARD-000051;MTR-SYN-REG-000051;KSM-SYN-REG-000051;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09Г2С;Труба бесшовная горячедеформированная 89x6 09Г2С;80;89;6;;;;40;09Г2С;К52;газ с H2S;requires_tu_lnd_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;30;pcs;True
SYN-REG-CARD-000052;MTR-SYN-REG-000052;KSM-SYN-REG-000052;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 325x12 20;Труба бесшовная горячедеформированная 325x12 20;300;325;12;;;;100;20;К56;коррозионно-активная среда;requires_tu_lnd_passport;;;False;False;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;66;pcs;True
SYN-REG-CARD-000053;MTR-SYN-REG-000053;KSM-SYN-REG-000053;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 426x14 13ХФА;Труба бесшовная горячедеформированная 426x14 13ХФА;400;426;14;;;;25;13ХФА;К48;природный газ;requires_project_and_passport;;;;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;25;pcs;True
SYN-REG-CARD-000054;MTR-SYN-REG-000054;KSM-SYN-REG-000054;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 377x12 13ХФА;Труба бесшовная горячедеформированная 377x12 13ХФА;350;377;12;;;;25;13ХФА;К56;нефть;requires_project_and_passport;;;False;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;37;pcs;True
SYN-REG-CARD-000055;MTR-SYN-REG-000055;KSM-SYN-REG-000055;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 159x8 09Г2С;Труба бесшовная горячедеформированная 159x8 09Г2С;150;159;8;;;;40;09Г2С;К42;коррозионно-активная среда;requires_tu_lnd_passport;;;True;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;49;pcs;True
SYN-REG-CARD-000056;MTR-SYN-REG-000056;KSM-SYN-REG-000056;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 20;Труба бесшовная горячедеформированная 108x6 20;100;108;6;;;;25;20;К56;коррозионно-активная среда;requires_tu_lnd_passport;;;False;False;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;67;pcs;True
SYN-REG-CARD-000057;MTR-SYN-REG-000057;KSM-SYN-REG-000057;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 219x10 20;Труба бесшовная горячедеформированная 219x10 20;200;219;10;;;;16;20;К42;нефть;requires_project_and_passport;;;False;;У;ГОСТ 8731-2025;ГОСТ 8731-2025;43;pcs;True
SYN-REG-CARD-000058;MTR-SYN-REG-000058;KSM-SYN-REG-000058;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 09ГСФ;Труба бесшовная горячедеформированная 530x16 09ГСФ;500;530;16;;;;40;09ГСФ;К48;газ с H2S и CO2;requires_tu_lnd_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;47;pcs;True
SYN-REG-CARD-000059;MTR-SYN-REG-000059;KSM-SYN-REG-000059;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 09Г2С;Труба бесшовная горячедеформированная 133x6 09Г2С;125;133;6;;;;63;09Г2С;К42;газ с CO2;requires_tu_lnd_passport;;;False;False;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;26;pcs;True
SYN-REG-CARD-000060;MTR-SYN-REG-000060;KSM-SYN-REG-000060;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 108x6 20;Труба бесшовная горячедеформированная 108x6 20;100;108;6;;;;40;20;К52;газ с CO2;requires_tu_lnd_passport;;;False;False;У;ГОСТ 8731-2025;ГОСТ 8731-2025;57;pcs;True
SYN-REG-CARD-000061;MTR-SYN-REG-000061;KSM-SYN-REG-000061;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 325x12 13ХФА;Труба бесшовная горячедеформированная 325x12 13ХФА;300;325;12;;;;160;13ХФА;К52;газ с H2S;requires_tu_lnd_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;34;pcs;True
SYN-REG-CARD-000062;MTR-SYN-REG-000062;KSM-SYN-REG-000062;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 426x14 13ХФА;Труба бесшовная горячедеформированная 426x14 13ХФА;400;426;14;;;;100;13ХФА;К48;техническая вода;requires_project_and_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;71;pcs;True
SYN-REG-CARD-000063;MTR-SYN-REG-000063;KSM-SYN-REG-000063;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 273x10 09Г2С;Труба бесшовная горячедеформированная 273x10 09Г2С;250;273;10;;;;25;09Г2С;К42;природный газ;requires_project_and_passport;;;True;;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;59;pcs;True
SYN-REG-CARD-000064;MTR-SYN-REG-000064;KSM-SYN-REG-000064;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 530x16 09Г2С;Труба бесшовная горячедеформированная 530x16 09Г2С;500;530;16;;;;25;09Г2С;К52;техническая вода;requires_project_and_passport;;;True;;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000065;MTR-SYN-REG-000065;KSM-SYN-REG-000065;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 219x10 09Г2С;Труба бесшовная горячедеформированная 219x10 09Г2С;200;219;10;;;;16;09Г2С;К56;нефть;requires_project_and_passport;;;False;;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;73;pcs;True
SYN-REG-CARD-000066;MTR-SYN-REG-000066;KSM-SYN-REG-000066;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 159x8 13ХФА;Труба бесшовная горячедеформированная 159x8 13ХФА;150;159;8;;;;100;13ХФА;К48;природный газ;requires_project_and_passport;;;False;;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;71;pcs;True
SYN-REG-CARD-000067;MTR-SYN-REG-000067;KSM-SYN-REG-000067;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 09ГСФ;Труба бесшовная горячедеформированная 89x6 09ГСФ;80;89;6;;;;16;09ГСФ;К42;техническая вода;requires_project_and_passport;;;True;True;УХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;15;pcs;True
SYN-REG-CARD-000068;MTR-SYN-REG-000068;KSM-SYN-REG-000068;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 76x5 09ГСФ;Труба бесшовная горячедеформированная 76x5 09ГСФ;65;76;5;;;;16;09ГСФ;К48;газ с CO2;requires_tu_lnd_passport;;;True;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000069;MTR-SYN-REG-000069;KSM-SYN-REG-000069;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 57x4 20;Труба бесшовная горячедеформированная 57x4 20;50;57;4;;;;40;20;К52;нефть;requires_project_and_passport;;;True;;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;20;pcs;True
SYN-REG-CARD-000070;MTR-SYN-REG-000070;KSM-SYN-REG-000070;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 89x6 20;Труба бесшовная горячедеформированная 89x6 20;80;89;6;;;;16;20;К52;нефть;requires_project_and_passport;;;False;True;ХЛ;ГОСТ 8731-2025;ГОСТ 8731-2025;35;pcs;True
SYN-REG-CARD-000071;MTR-SYN-REG-000071;KSM-SYN-REG-000071;труба;бесшовная горячедеформированная;Труба бесшовная горячедеформированная 133x6 09ГСФ;Труба бесшовная горячедеформированная 133x6 09ГСФ;125;133;6;;;;160;09ГСФ;К52;нефть;requires_project_and_passport;;;False;True;У;ГОСТ 8731-2025;ГОСТ 8731-2025;63;pcs;True
